0.000000 31.000000
3.858E-7 16.786579 37.809029
3.858E-7 16.786663 37.809284
3.858E-7 16.786760 37.809452
3.858E-7 16.786892 37.809628
3.858E-7 16.787012 37.809799
3.858E-7 16.787100 37.809998
3.858E-7 16.787062 37.810246
3.858E-7 16.786625 37.810726
3.858E-7 16.785452 37.811745
3.858E-7 16.782457 37.814266
3.858E-7 16.766325 37.818558
3.858E-7 16.702852 37.824017
3.858E-7 16.496832 37.832253
3.858E-7 16.033747 37.843124
3.858E-7 15.380754 37.870144
3.858E-7 14.815439 37.911846
3.858E-7 14.349433 37.971378
3.858E-7 14.008669 38.040531
3.858E-7 13.814681 38.109894
3.858E-7 13.684459 38.184196
3.858E-7 13.614302 38.262699
3.858E-7 13.609961 38.347130
3.858E-7 13.684021 38.445004
3.858E-7 13.811578 38.549900
3.858E-7 13.901602 38.626137
3.858E-7 13.895986 38.657688
3.858E-7 13.806864 38.657295
3.858E-7 13.657643 38.636929
3.858E-7 13.486843 38.605228
3.858E-7 13.332928 38.570641
3.858E-7 13.163191 38.528973
3.858E-7 13.017280 38.492455
3.858E-7 12.919893 38.468449
3.858E-7 12.861462 38.454674
3.858E-7 12.825384 38.446724
3.858E-7 12.800653 38.442001
3.858E-7 12.791683 38.441250
3.858E-7 0.000000 0.000000
334.000000 365.000000
3.858E-7 14.808939 37.854153
3.858E-7 14.809068 37.854225
3.858E-7 14.809174 37.854275
3.858E-7 14.809267 37.854332
3.858E-7 14.809356 37.854378
3.858E-7 14.809447 37.854427
3.858E-7 14.809551 37.854485
3.858E-7 14.809688 37.854549
3.858E-7 14.809845 37.854637
3.858E-7 14.810004 37.854755
3.858E-7 14.810124 37.854919
3.858E-7 14.810266 37.855125
3.858E-7 14.810472 37.855408
3.858E-7 14.810650 37.855877
3.858E-7 14.810854 37.856663
3.858E-7 14.810624 37.858360
3.858E-7 14.807017 37.860836
3.858E-7 14.795195 37.864563
3.858E-7 14.714840 37.875702
3.858E-7 14.548300 37.895729
3.858E-7 14.341068 37.934395
3.858E-7 14.096580 38.007389
3.858E-7 13.901116 38.089272
3.858E-7 13.760229 38.176754
3.858E-7 13.672952 38.269306
3.858E-7 13.650641 38.358162
3.858E-7 13.716193 38.458118
3.858E-7 13.846010 38.562496
3.858E-7 13.928923 38.631622
3.858E-7 13.915815 38.660542
3.858E-7 13.821995 38.658882
3.858E-7 13.672033 38.639027
3.858E-7 13.500259 38.607803
3.858E-7 13.343853 38.573151
3.858E-7 13.172368 38.531254
3.858E-7 13.022093 38.493675
3.858E-7 12.921376 38.468826
3.858E-7 12.861611 38.454720
3.858E-7 12.825103 38.446678
3.858E-7 12.800505 38.441982
3.858E-7 12.791549 38.441212
3.858E-7 0.000000 0.000000
